CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;0;0;0;0;4,043745;7,25;0;0
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PT 200G;1085;0;140;66;4,064883;6,35;0;879
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PT 200G;538;0;0;30;4,064897;6,35;0;508
1;279;LEITE FERM MOLICO FRUT VERM 12X400G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;0;0;0;0;3,935694;5,74;0;0
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1510;0;221;29;1,638019;2,7;0;1260
1;288;NINHO IOGURTE MORANGO 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1888;0;302;29;1,638019;2,7;0;1557
1;295;PALLET ;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;1 UN;0;0;0;0;25,2;17;0;0
1;296;IOGURTE NESTLE GREGO LIGHT MEL 48X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;0;0;1,333611;2,03;0;0
1;297;CHANDELLE BOMBOM GALAK 32X160G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;CX 32X160G;0;0;0;0;2,190651;3,2;0;0
1;298;CHANDELLE BOMBOM CLASIC 32X160G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;160G;0;0;0;0;2,190651;3,2;0;0
